"gene_id","module_name","module_color"
"ASV_1909","module_2","blue"
"ASV_2094","module_7","black"
"ASV_2120","module_2","blue"
"ASV_2353","module_7","black"
"ASV_1625","module_0","grey"
"ASV_2193","module_4","yellow"
"ASV_1477","module_5","green"
"ASV_2280","module_4","yellow"
"ASV_2324","module_8","pink"
"ASV_1447","module_0","grey"
"ASV_1622","module_0","grey"
"ASV_1504","module_0","grey"
"ASV_1726","module_0","grey"
"ASV_1871","module_0","grey"
"ASV_2246","module_4","yellow"
"ASV_1520","module_5","green"
"ASV_2142","module_4","yellow"
"ASV_1562","module_0","grey"
"ASV_1918","module_0","grey"
"ASV_2251","module_2","blue"
"ASV_1605","module_0","grey"
"ASV_1635","module_0","grey"
"ASV_1729","module_0","grey"
"ASV_1698","module_0","grey"
"ASV_1868","module_0","grey"
"ASV_2259","module_7","black"
"ASV_2377","module_4","yellow"
"ASV_1626","module_0","grey"
"ASV_1659","module_8","pink"
"ASV_2130","module_0","grey"
"ASV_2238","module_4","yellow"
"ASV_2402","module_4","yellow"
"ASV_1592","module_0","grey"
"ASV_1893","module_7","black"
"ASV_2127","module_2","blue"
"ASV_2204","module_2","blue"
"ASV_1568","module_0","grey"
"ASV_1580","module_0","grey"
"ASV_1634","module_0","grey"
"ASV_2119","module_8","pink"
"ASV_1614","module_0","grey"
"ASV_1699","module_6","red"
"ASV_2260","module_8","pink"
"ASV_1692","module_0","grey"
"ASV_1932","module_0","grey"
"ASV_1583","module_0","grey"
"ASV_1763","module_0","grey"
"ASV_1588","module_5","green"
"ASV_1958","module_2","blue"
"ASV_2399","module_2","blue"
"ASV_1601","module_0","grey"
"ASV_1650","module_7","black"
"ASV_1728","module_0","grey"
"ASV_2183","module_2","blue"
"ASV_2221","module_2","blue"
"ASV_1708","module_5","green"
"ASV_1876","module_0","grey"
"ASV_1538","module_0","grey"
"ASV_1586","module_0","grey"
"ASV_1669","module_0","grey"
"ASV_2195","module_0","grey"
"ASV_1641","module_0","grey"
"ASV_1916","module_8","pink"
"ASV_1716","module_0","grey"
"ASV_1750","module_0","grey"
"ASV_1646","module_5","green"
"ASV_1682","module_0","grey"
"ASV_1693","module_0","grey"
"ASV_2189","module_2","blue"
"ASV_1741","module_0","grey"
"ASV_1806","module_7","black"
"ASV_1822","module_0","grey"
"ASV_1915","module_6","red"
"ASV_1779","module_0","grey"
"ASV_1831","module_0","grey"
"ASV_1900","module_0","grey"
"ASV_2033","module_2","blue"
"ASV_2041","module_5","green"
"ASV_2190","module_2","blue"
"ASV_1980","module_5","green"
"ASV_2178","module_4","yellow"
"ASV_1963","module_7","black"
"ASV_1778","module_0","grey"
"ASV_1877","module_6","red"
"ASV_2169","module_2","blue"
"ASV_1753","module_0","grey"
"ASV_2065","module_4","yellow"
"ASV_2171","module_2","blue"
"ASV_1982","module_6","red"
"ASV_2327","module_4","yellow"
"ASV_1833","module_6","red"
"ASV_1902","module_2","blue"
"ASV_1979","module_0","grey"
"ASV_2305","module_0","grey"
